timestamp,temperature_celsius,cloud_cover_percentage,panel_age_in_days,days_since_cleaning,ideal_power_kw,actual_power_kw,energy_loss_kw
2023-01-01 00:00:00,-8.674,93.158,0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,-9.774,57.209,0,0.042,0.683,0.683,0.0
2023-01-01 02:00:00,-7.702,29.761,0,0.083,1.946,1.946,0.0
2023-01-01 03:00:00,-5.157,99.711,0,0.125,0.647,0.647,0.0
2023-01-01 04:00:00,-7.636,68.082,0,0.167,2.163,2.162,0.001
2023-01-01 05:00:00,-6.43,40.844,0,0.208,4.016,4.013,0.003
2023-01-01 06:00:00,-1.509,55.984,0,0.25,3.772,3.769,0.003
2023-01-01 07:00:00,-1.839,41.583,0,0.292,5.184,5.18,0.005
2023-01-01 08:00:00,-3.107,88.831,0,0.333,2.249,2.247,0.002
2023-01-01 09:00:00,-0.047,48.25,0,0.375,5.524,5.518,0.006
2023-01-01 10:00:00,-1.264,82.353,0,0.417,3.03,3.027,0.004
2023-01-01 11:00:00,-0.77,84.018,0,0.458,2.973,2.969,0.004
2023-01-01 12:00:00,0.816,82.433,0,0.5,3.131,3.126,0.005
2023-01-01 13:00:00,-3.665,72.219,0,0.542,3.948,3.941,0.006
2023-01-01 14:00:00,-3.787,85.488,0,0.583,2.778,2.773,0.005
2023-01-01 15:00:00,-2.257,38.723,0,0.625,6.258,6.246,0.012
2023-01-01 16:00:00,-4.193,11.466,0,0.667,7.833,7.817,0.016
2023-01-01 17:00:00,-2.745,84.245,0,0.708,2.364,2.359,0.005
2023-01-01 18:00:00,-6.484,49.817,0,0.75,4.136,4.126,0.009
2023-01-01 19:00:00,-8.786,12.738,0,0.792,5.441,5.429,0.013
2023-01-01 20:00:00,-4.236,11.531,0,0.833,4.52,4.508,0.011
2023-01-01 21:00:00,-8.655,15.924,0,0.875,3.319,3.31,0.009
2023-01-01 22:00:00,-8.863,75.097,0,0.917,0.968,0.966,0.003
2023-01-01 23:00:00,-12.347,71.086,0,0.958,0.532,0.531,0.002
2023-01-02 00:00:00,-10.7,20.382,1,1.0,0.0,0.0,0.0
2023-01-02 01:00:00,-9.219,84.692,1,1.042,0.384,0.383,0.001
2023-01-02 02:00:00,-11.244,28.129,1,1.083,1.981,1.975,0.006
2023-01-02 03:00:00,-7.396,79.299,1,1.125,1.298,1.294,0.004
2023-01-02 04:00:00,-8.313,48.881,1,1.167,2.963,2.953,0.01
2023-01-02 05:00:00,-6.489,73.155,1,1.208,2.376,2.368,0.009
2023-01-02 06:00:00,-5.815,38.139,1,1.25,4.824,4.806,0.018
2023-01-02 07:00:00,0.387,34.714,1,1.292,5.638,5.617,0.022
2023-01-02 08:00:00,-2.139,84.136,1,1.333,2.588,2.578,0.01
2023-01-02 09:00:00,-3.191,3.53,1,1.375,8.967,8.93,0.037
2023-01-02 10:00:00,1.364,97.474,1,1.417,1.813,1.805,0.008
2023-01-02 11:00:00,-2.224,64.818,1,1.458,4.559,4.539,0.02
2023-01-02 12:00:00,0.806,43.248,1,1.5,6.396,6.367,0.029
2023-01-02 13:00:00,-3.701,62.805,1,1.542,4.725,4.704,0.022
2023-01-02 14:00:00,-2.938,12.274,1,1.583,8.671,8.63,0.041
2023-01-02 15:00:00,-0.682,51.405,1,1.625,5.281,5.255,0.026
2023-01-02 16:00:00,-0.635,98.51,1,1.667,1.551,1.543,0.008
2023-01-02 17:00:00,-2.975,23.527,1,1.708,6.378,6.345,0.033
2023-01-02 18:00:00,-4.843,72.228,1,1.75,2.815,2.8,0.015
2023-01-02 19:00:00,-6.508,43.497,1,1.792,3.881,3.86,0.021
2023-01-02 20:00:00,-10.069,65.246,1,1.833,2.281,2.269,0.013
2023-01-02 21:00:00,-9.587,20.489,1,1.875,3.173,3.156,0.018
2023-01-02 22:00:00,-9.863,47.046,1,1.917,1.573,1.564,0.009
2023-01-02 23:00:00,-7.327,98.009,1,1.958,0.239,0.238,0.001
2023-01-03 00:00:00,-8.864,19.529,2,2.0,0.0,0.0,0.0
2023-01-03 01:00:00,-12.907,63.645,2,2.042,0.613,0.609,0.004
2023-01-03 02:00:00,-8.233,57.56,2,2.083,1.347,1.338,0.008
2023-01-03 03:00:00,-8.857,56.505,2,2.125,2.025,2.012,0.013
2023-01-03 04:00:00,-8.405,61.512,2,2.167,2.437,2.421,0.016
2023-01-03 05:00:00,-4.622,50.224,2,2.208,3.54,3.516,0.024
2023-01-03 06:00:00,-2.489,1.693,2,2.25,6.971,6.924,0.047
