timestamp,temperature_celsius,cloud_cover_percentage,uv_index,panel_angle_degrees,power_output_kw
2024-01-01 00:00:00,-8.67,29.23,0.6,20,0.8
2024-01-01 01:00:00,-9.77,65.58,1.5,20,1.1
2024-01-01 02:00:00,-7.7,64.16,1.24,40,1.24
2024-01-01 03:00:00,-5.16,20.95,3.41,30,5.4
2024-01-01 04:00:00,-7.64,3.04,4.45,20,7.4
2024-01-01 05:00:00,-6.43,43.36,3.35,30,4.01
2024-01-01 06:00:00,-1.51,56.95,4.02,40,4.06
2024-01-01 07:00:00,-1.84,87.66,3.03,20,1.36
2024-01-01 08:00:00,-3.11,92.82,3.12,40,1.33
2024-01-01 09:00:00,-0.05,52.88,5.5,20,5.15
2024-01-01 10:00:00,-1.26,75.38,4.44,20,2.74
2024-01-01 11:00:00,-0.77,43.93,7.01,50,7.57
2024-01-01 12:00:00,0.82,74.61,4.64,30,3.39
2024-01-01 13:00:00,-3.66,20.48,8.83,40,13.95
2024-01-01 14:00:00,-3.79,37.11,7.61,50,8.97
2024-01-01 15:00:00,-2.26,63.42,6.52,20,5.22
2024-01-01 16:00:00,-4.19,1.82,9.12,20,15.25
2024-01-01 17:00:00,-2.75,72.25,4.23,40,3.22
2024-01-01 18:00:00,-6.48,83.55,2.82,30,1.67
2024-01-01 19:00:00,-8.79,39.91,4.61,40,5.85
2024-01-01 20:00:00,-4.24,44.79,3.67,20,3.97
2024-01-01 21:00:00,-8.65,85.13,1.4,50,0.68
2024-01-01 22:00:00,-8.86,77.57,1.64,40,1.05
2024-01-01 23:00:00,-12.35,28.81,0.36,50,0.46
2024-01-02 00:00:00,-10.7,32.4,0.0,30,0.01
2024-01-02 01:00:00,-9.22,67.89,0.99,30,0.81
2024-01-02 02:00:00,-11.24,56.32,1.47,50,1.39
2024-01-02 03:00:00,-7.4,16.22,3.31,30,5.48
2024-01-02 04:00:00,-8.31,30.99,3.9,50,4.84
2024-01-02 05:00:00,-6.49,90.0,2.02,50,0.93
2024-01-02 06:00:00,-5.81,68.82,4.41,50,3.06
2024-01-02 07:00:00,0.39,98.6,2.21,30,0.86
2024-01-02 08:00:00,-2.14,76.7,4.39,50,2.68
2024-01-02 09:00:00,-3.19,94.2,3.64,30,1.48
2024-01-02 10:00:00,1.36,21.62,7.79,50,10.86
2024-01-02 11:00:00,-2.22,77.15,4.85,50,2.96
2024-01-02 12:00:00,0.81,2.02,9.41,30,17.58
2024-01-02 13:00:00,-3.7,67.08,6.18,50,4.62
